تناوب,دوره,عنوان دوره,مدیر,نوع صندوق,خالص ارزش دارایی (میلیارد ریال),سهم از کل صنعت ٪
ماهانه,1399-07,مهر 1399,سایر مدیران,پروژه‌ای,10357.6,0.306
ماهانه,1399-07,مهر 1399,سایر مدیران,کالایی (طلا و ...),35023.0,1.034
ماهانه,1399-07,مهر 1399,سبد گردان اقتصاد بیدار,اختصاصی بازارگردانی,151.6,0.005
ماهانه,1399-07,مهر 1399,سبد گردان اقتصاد بیدار,درآمد ثابت,243.5,0.007
ماهانه,1399-07,مهر 1399,سبد گردان اقتصاد بیدار,سهامی,4071.2,0.12
ماهانه,1399-07,مهر 1399,سبد گردان کاریزما,اختصاصی بازارگردانی,5160.6,0.152
ماهانه,1399-07,مهر 1399,سبد گردان کاریزما,درآمد ثابت,86685.4,2.559
ماهانه,1399-07,مهر 1399,سبد گردان کاریزما,سهامی,8543.3,0.252
ماهانه,1399-07,مهر 1399,سبد گردان کاریزما,سهامی - شاخصی,2918.5,0.086
ماهانه,1399-07,مهر 1399,سبدگردان آگاه,اختصاصی بازارگردانی,6365.2,0.188
ماهانه,1399-07,مهر 1399,سبدگردان آگاه,درآمد ثابت,19635.2,0.58
ماهانه,1399-07,مهر 1399,سبدگردان آگاه,سهامی,21718.0,0.641
ماهانه,1399-07,مهر 1399,سبدگردان آگاه,مختلط,153.7,0.005
ماهانه,1399-07,مهر 1399,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,226.3,0.007
ماهانه,1399-07,مهر 1399,سبدگردان توسعه فیروزه,جسورانه,53.1,0.002
ماهانه,1399-07,مهر 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1960.8,0.058
ماهانه,1399-07,مهر 1399,سبدگردان توسعه فیروزه,سهامی,1180.1,0.035
ماهانه,1399-07,مهر 1399,سبدگردان توسعه فیروزه,سهامی - شاخصی,3274.7,0.097
ماهانه,1399-07,مهر 1399,سبدگردان فارابی,اختصاصی بازارگردانی,851.3,0.025
ماهانه,1399-07,مهر 1399,سبدگردان فارابی,درآمد ثابت,8298.7,0.245
ماهانه,1399-07,مهر 1399,سبدگردان فارابی,سهامی,6815.1,0.201
ماهانه,1399-07,مهر 1399,سبدگردان مفید,اختصاصی بازارگردانی,3127.8,0.092
ماهانه,1399-07,مهر 1399,سبدگردان مفید,درآمد ثابت,124639.8,3.679
ماهانه,1399-07,مهر 1399,سبدگردان مفید,سهامی,70429.2,2.079
ماهانه,1399-07,مهر 1399,سبدگردان مفید,مختلط,2749.1,0.081
ماهانه,1399-07,مهر 1399,سبدگردان مفید,کالایی (طلا و ...),3396.7,0.1
ماهانه,1399-07,مهر 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,986.8,0.029
ماهانه,1399-07,مهر 1399,مشاور سرمایه گذاری ترنج,سهامی,4828.6,0.143
ماهانه,1399-08,آبان 1399,سایر مدیران,اختصاصی بازارگردانی,334221.2,9.729
ماهانه,1399-08,آبان 1399,سایر مدیران,بازنشستگی تکمیلی,17432.3,0.507
ماهانه,1399-08,آبان 1399,سایر مدیران,جسورانه,978.1,0.028
ماهانه,1399-08,آبان 1399,سایر مدیران,خصوصی,503.3,0.015
ماهانه,1399-08,آبان 1399,سایر مدیران,درآمد ثابت,2307926.2,67.184
ماهانه,1399-08,آبان 1399,سایر مدیران,سهامی,172195.5,5.013
ماهانه,1399-08,آبان 1399,سایر مدیران,سهامی - اهرمی,2223.6,0.065
ماهانه,1399-08,آبان 1399,سایر مدیران,سهامی - بخشی,137808.8,4.012
ماهانه,1399-08,آبان 1399,سایر مدیران,سهامی - شاخصی,6390.7,0.186
ماهانه,1399-08,آبان 1399,سایر مدیران,صندوق در صندوق,751.7,0.022
ماهانه,1399-08,آبان 1399,سایر مدیران,مختلط,19734.9,0.574
ماهانه,1399-08,آبان 1399,سایر مدیران,پروژه‌ای,10357.4,0.302
ماهانه,1399-08,آبان 1399,سایر مدیران,کالایی (طلا و ...),29288.2,0.853
ماهانه,1399-08,آبان 1399,سبد گردان اقتصاد بیدار,اختصاصی بازارگردانی,262.7,0.008
ماهانه,1399-08,آبان 1399,سبد گردان اقتصاد بیدار,درآمد ثابت,230.6,0.007
ماهانه,1399-08,آبان 1399,سبد گردان اقتصاد بیدار,سهامی,4109.0,0.12
ماهانه,1399-08,آبان 1399,سبد گردان کاریزما,اختصاصی بازارگردانی,11793.2,0.343
ماهانه,1399-08,آبان 1399,سبد گردان کاریزما,درآمد ثابت,90280.2,2.628
ماهانه,1399-08,آبان 1399,سبد گردان کاریزما,سهامی,8503.2,0.248
ماهانه,1399-08,آبان 1399,سبد گردان کاریزما,سهامی - شاخصی,2495.6,0.073
ماهانه,1399-08,آبان 1399,سبدگردان آگاه,اختصاصی بازارگردانی,8371.5,0.244
ماهانه,1399-08,آبان 1399,سبدگردان آگاه,درآمد ثابت,20396.5,0.594
ماهانه,1399-08,آبان 1399,سبدگردان آگاه,سهامی,20397.4,0.594
ماهانه,1399-08,آبان 1399,سبدگردان آگاه,مختلط,156.3,0.005
ماهانه,1399-08,آبان 1399,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,504.2,0.015
ماهانه,1399-08,آبان 1399,سبدگردان توسعه فیروزه,جسورانه,53.4,0.002
ماهانه,1399-08,آبان 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1981.4,0.058
ماهانه,1399-08,آبان 1399,سبدگردان توسعه فیروزه,سهامی,1113.9,0.032
ماهانه,1399-08,آبان 1399,سبدگردان توسعه فیروزه,سهامی - شاخصی,3115.9,0.091
ماهانه,1399-08,آبان 1399,سبدگردان فارابی,اختصاصی بازارگردانی,1098.4,0.032
ماهانه,1399-08,آبان 1399,سبدگردان فارابی,درآمد ثابت,11337.3,0.33
ماهانه,1399-08,آبان 1399,سبدگردان فارابی,سهامی,6270.8,0.182
ماهانه,1399-08,آبان 1399,سبدگردان مفید,اختصاصی بازارگردانی,3395.0,0.099
ماهانه,1399-08,آبان 1399,سبدگردان مفید,درآمد ثابت,130221.9,3.791
ماهانه,1399-08,آبان 1399,سبدگردان مفید,سهامی,58758.5,1.71
ماهانه,1399-08,آبان 1399,سبدگردان مفید,مختلط,2470.3,0.072
